date,TSLA_first_hour_vol,mean,std,abs_sentiment_score,news_count,is_option_expiry,is_first_trading_day,is_last_trading_day,is_last_trading_day_of_quarter,Friday,Monday,Thursday,Tuesday,Wednesday,day_total_vol
5/31/2024,1.8274811,-0.154130762,0.256249496,0.215929293,17,0,0,1,0,1,0,0,0,0,56856268
6/3/2024,2.3619345,-0.009059552,0.341186599,0.220522679,17,0,1,0,0,0,1,0,0,0,65842619
6/4/2024,2.1893898,0.01602354,0.250184347,0.18565117,13,0,0,0,0,0,0,0,1,0,57618543
6/5/2024,2.0028018,0.171173751,0.344441728,0.302593454,16,0,0,0,0,0,0,0,0,1,54023397
6/6/2024,1.8902092,0.085944156,0.279780733,0.213703429,12,0,0,0,0,0,0,1,0,0,66860998
6/7/2024,1.7602305,0.029988669,0.400433488,0.330406033,7,0,0,0,0,1,0,0,0,0,53231639
6/10/2024,1.4101822,0.07703065,0.411302245,0.324852451,31,0,0,0,0,0,1,0,0,0,46941752
6/11/2024,2.1259041,-0.104606651,0.345336794,0.289202034,22,0,0,0,0,0,0,0,1,0,61445850
6/12/2024,2.322951,0.01892823,0.385814176,0.276274802,48,0,0,0,0,0,0,0,0,1,85341632
6/13/2024,5.1500769,0.212556557,0.294492966,0.256034962,47,0,0,0,0,0,0,1,0,0,110756326
6/14/2024,3.0806798,0.161251056,0.347259115,0.266524178,91,0,0,0,0,1,0,0,0,0,78363766
6/17/2024,2.3372206,0.146660489,0.341364944,0.265785071,18,0,0,0,0,0,1,0,0,0,103038627
6/18/2024,2.500194,0.157844247,0.309707414,0.252929082,19,0,0,0,0,0,0,0,1,0,65264461
6/20/2024,1.8894354,0.026441721,0.378809936,0.255292206,11,0,0,0,0,0,0,1,0,0,51692260
6/21/2024,2.0397613,0.004792194,0.152801763,0.108047162,2,1,0,0,0,1,0,0,0,0,52536600
6/24/2024,2.5449582,0.211031128,0.554709108,0.508887582,6,0,0,0,0,0,1,0,0,0,58602907
6/25/2024,1.9831866,0.102562233,0.25558265,0.187229293,12,0,0,0,0,0,0,0,1,0,58368379
6/26/2024,3.0500888,0.333189518,0.330923997,0.351921472,6,0,0,0,0,0,0,0,0,1,90627052
6/27/2024,2.7604291,-0.063050602,0.381587487,0.348695205,10,0,0,0,0,0,0,1,0,0,69020219
