Datetime,NVDA,AMZN,AAPL,TSLA,BAC
2024-02-07 12:30:00-05:00,4371427,3693223,4225096,12283972,3259745
2024-02-07 13:30:00-05:00,3656838,4583767,3634993,13406711,2753427
2024-02-07 14:30:00-05:00,6697421,4021600,4428203,9574312,3735541
2024-02-07 15:30:00-05:00,4395767,4931566,5356489,6133346,3119090
2024-02-08 09:30:00-05:00,13273144,12182869,9404735,23271830,7050171
2024-02-08 10:30:00-05:00,7392905,5003189,5999088,15994785,3689407
2024-02-08 11:30:00-05:00,4057925,3863760,3704042,11263594,2840660
2024-02-08 12:30:00-05:00,3602736,3155503,3684608,10875576,5256072
2024-02-08 13:30:00-05:00,3836559,3647142,2950677,8010199,4504220
2024-02-08 14:30:00-05:00,3694404,3467404,3130920,6808792,2829665
2024-02-08 15:30:00-05:00,3041024,5232067,4392367,4914073,3433630
2024-02-09 09:30:00-05:00,13036372,10806400,7269191,28110232,5819675
2024-02-09 10:30:00-05:00,7560127,10986380,7262095,15591181,3836304
2024-02-09 11:30:00-05:00,4171127,6696086,5933174,9454704,4560077
2024-02-09 12:30:00-05:00,3221056,5627272,3946336,8792961,3515989
2024-02-09 13:30:00-05:00,4905651,4480849,3957939,6542665,2322843
2024-02-09 14:30:00-05:00,4033769,5851603,3908875,6770856,3407285
2024-02-09 15:30:00-05:00,4191234,6184120,4247081,6777523,4307799
2024-02-12 09:30:00-05:00,14869090,13916263,9188512,25584046,5601068
2024-02-12 10:30:00-05:00,9483690,6216567,5040878,15722938,4089293
2024-02-12 11:30:00-05:00,7362230,4532357,3034871,15403976,4585481
2024-02-12 12:30:00-05:00,5298221,3345372,3095209,10956272,2827029
2024-02-12 13:30:00-05:00,10989712,5147732,3735143,10805809,4279181
2024-02-12 14:30:00-05:00,6803291,4931268,3698293,8274049,3343807
2024-02-12 15:30:00-05:00,3337843,5568774,4927400,5941738,5363314
2024-02-13 09:30:00-05:00,19665605,17319457,13054284,27029323,10553512
2024-02-13 10:30:00-05:00,11474119,5190133,5752805,13097421,6251067
2024-02-13 11:30:00-05:00,5635053,4044840,3585593,9933173,2770146
2024-02-13 12:30:00-05:00,5234490,3447453,3022354,8358222,2888692
2024-02-13 13:30:00-05:00,4309732,4552523,4531260,8969961,4371310
2024-02-13 14:30:00-05:00,6172161,5131286,5652730,8970379,5602530
2024-02-13 15:30:00-05:00,4941467,6473905,7155981,7148640,6736028
2024-02-14 09:30:00-05:00,14491978,11021649,10773002,23235462,5683792
2024-02-14 10:30:00-05:00,9769137,5466536,7267868,11562527,3255580
2024-02-14 11:30:00-05:00,5366858,3152772,5070640,8389857,2259705
2024-02-14 12:30:00-05:00,4552996,3083985,4266603,7491651,1789100
2024-02-14 13:30:00-05:00,4101939,3941028,4242351,8829553,2683543
2024-02-14 14:30:00-05:00,4407749,4433287,4560865,7420664,2991617
2024-02-14 15:30:00-05:00,4480436,5268249,6170787,7022863,3832625
2024-02-15 09:30:00-05:00,14569301,12000704,15865879,31060806,10299696
2024-02-15 10:30:00-05:00,6583038,7699199,7072846,16887420,3757836
2024-02-15 11:30:00-05:00,4030155,5366168,4268275,12888095,5897428
2024-02-15 12:30:00-05:00,3375388,4754175,4337741,15179749,3571306
